"Source","Target","Weight"
"august (jackie hayes)","got to hurt (jackie hayes)","15"
"big change (swearin')","dogpile (swearin')","15"
"untitled (la) (swearin')","treading (swearin')","15"
"smoke or steam (swearin')","anyway (swearin')","15"
"kiss city (blondshell)","olympus (blondshell)","15"
"olympus (blondshell)","salad (blondshell)","15"
"salad (blondshell)","sepsis (blondshell)","15"
"sepsis (blondshell)","sober together (blondshell)","15"
"very little effort (julie)","clairbourne practice (julie)","15"
"dissolve / resolve (margaux)","midnight contact (margaux)","15"
"north poles (samia)","pants (samia)","15"
"clickbait (intro) (prima queen)","mexico (prima queen)","15"
"fool (prima queen)","woman and child (prima queen)","15"
"peach (broods)","falling apart (broods)","14"
"young enough (charly bliss)","bleach (charly bliss)","14"
"chatroom (charly bliss)","hurt me (charly bliss)","14"
"mars (pinkshift)","on thin ice (pinkshift)","14"
"on thin ice (pinkshift)","i'm gonna tell my therapist on you (pinkshift)","14"
"i told you that i was afraid (the beths)","2am (the beths)","14"
"treading (swearin')","oil and water (swearin')","14"
"easily (suzi wu)","soft (suzi wu)","14"
"divine (vona vella)","thought we were falling in love (vona vella)","14"
"thought we were falling in love (vona vella)","ariel (vona vella)","14"
"ariel (vona vella)","intertwined (vona vella)","14"
"intertwined (vona vella)","kim (vona vella)","14"
"kim (vona vella)","telephones (vona vella)","14"
"dna (margaux)","picture it (margaux)","14"
"midnight contact (margaux)","what could i say? (margaux)","14"
"catalogue (julie)","tenebrist (julie)","14"
"tenebrist (julie)","very little effort (julie)","14"
"thread, stitch (julie)","feminine adornments (julie)","14"
"ugly (prima queen)","flying ant day (prima queen)","14"
"flying ant day (prima queen)","meryl streep (prima queen)","14"
"woman and child (prima queen)","sunshine song (prima queen)","14"
"hurt me (charly bliss)","hard to believe (charly bliss)","13"
"hard to believe (charly bliss)","the truth (charly bliss)","13"
"triptych (samia)","does not heal (samia)","13"
"i'm gonna tell my therapist on you (pinkshift)","toro (pinkshift)","13"
"toro (pinkshift)","rainwalk (pinkshift)","13"
"how does the story go? (sprints)","modern job (sprints)","13"
"got to hurt (jackie hayes)","hard to believe (jackie hayes)","13"
"oil and water (swearin')","smoke or steam (swearin')","13"
"telephones (vona vella)","stop running in the dark (vona vella)","13"
"stop running in the dark (vona vella)","i would do anything you want me to (vona vella)","13"
"i would do anything you want me to (vona vella)","anchor (vona vella)","13"
"anchor (vona vella)","old girl (vona vella)","13"
"old girl (vona vella)","what we could be (vona vella)","13"
"clairbourne practice (julie)","knob (julie)","13"
"feminine adornments (julie)","ill cook my own meals (julie)","13"
"piano instrumental (julie)","stuck in a car with angels (julie)","13"
"meryl streep (prima queen)","spaceship (prima queen)","13"
"spaceship (prima queen)","fool (prima queen)","13"
"sunshine song (prima queen)","more credit (prima queen)","13"
"love me (charly bliss)","urge to purge (charly bliss)","12"
"urge to purge (charly bliss)","strings (charly bliss)","12"
"locker room bully (destroy boys)","muzzle (destroy boys)","12"
