"Source","Target","Weight"
"eyder ikh leyg mikh shlofn (isabel frey)","arbetlose marsch (isabel frey)","6"
"arbetlose marsch (isabel frey)","margaritkelekh (isabel frey)","6"
"margaritkelekh (isabel frey)","sholem lid (isabel frey)","6"
"ale vayber megn shtimen (isabel frey)","shtil, di nakht is oysgeshternt (isabel frey)","6"
"up to you (jacklen ro)","listening to me sing (jacklen ro)","6"
"i just stare (jacklen ro)","you're not you (jacklen ro)","6"
"you're not you (jacklen ro)","ancient pianos (jacklen ro)","6"
"ancient pianos (jacklen ro)","what would i do (jacklen ro)","6"
"what would i do (jacklen ro)","knoxville (jacklen ro)","6"
"knoxville (jacklen ro)","guilt (bonus track) (jacklen ro)","6"
"02:00 am (sarah crean)","nineteen (charly bliss)","6"
"waiting for you (charly bliss)","calling you out (charly bliss)","6"
"a good thing (odie leigh)","already (on my mind) (odie leigh)","6"
"how do you do it (charly bliss)","i don't know anything (charly bliss)","6"
"i don't know anything (charly bliss)","here comes the darkness (charly bliss)","6"
"spinning (pom pom squad)","street fighter (pom pom squad)","6"
"street fighter (pom pom squad)","everybody's moving on (pom pom squad)","6"
"everybody's moving on (pom pom squad)","villain (pom pom squad)","6"
"montauk (pom pom squad)","doll song (pom pom squad)","6"
"doll song (pom pom squad)","tarot interlude (pom pom squad)","6"
"tarot interlude (pom pom squad)","the tower (pom pom squad)","6"
"keep it (trophy wife)","magnet (trophy wife)","6"
"magnet (trophy wife)","the shame (trophy wife)","6"
"the shame (trophy wife)","beer n tv (trophy wife)","6"
"beer n tv (trophy wife)","swamp song (trophy wife)","6"
"soft lie (work wife)","suffer dude (colatura)","6"
"pants (samia)","lizard (samia)","6"
"lizard (samia)","bovine excision (samia)","6"
"the louvre (lorde)","liability (lorde)","5"
"lava (ava naomi)","princess (ava naomi)","5"
"talia (king princess)","1950 (king princess)","5"
"be your own 3am (adult mom)","fool (frankie cosmos)","5"
"it hurts until it doesn't (mothers)","fool (frankie cosmos)","5"
"thinning (snail mail)","motion sickness (phoebe bridgers)","5"
"harvard (diet cig)","be your own 3am (adult mom)","5"
"cut yr teeth (kississippi)","pristine (snail mail)","5"
"princess (ava naomi)","lava (ava naomi)","5"
"princess (ava naomi)","if only words were weapons (ava naomi)","5"
"about you (g flip)","bring me home (g flip)","5"
"your dog (soccer mommy)","cut yr teeth (kississippi)","5"
"percolator (charly bliss)","dq (charly bliss)","5"
"dq (charly bliss)","glitter (charly bliss)","5"
"how to socialise & make friends (camp cope)","the face of god (camp cope)","5"
"let's find an out (snail mail)","golden dream (snail mail)","5"
"static buzz (snail mail)","dirt (snail mail)","5"
"dirt (snail mail)","slug (snail mail)","5"
"stick (snail mail)","the 2nd most beautiful girl in the world (snail mail)","5"
"nighttime drive (jay som)","tenderness (jay som)","5"
"the 2nd most beautiful girl in the world (snail mail)","pristine (snail mail)","5"
"slingshot (charly bliss)","threat (charly bliss)","5"
"painkiller (beach bunny)","told you i'd be with the guys (cherry glazerr)","5"
"veronica (daddy issues)","maggot (slutever)","5"
"promises (beach bunny)","cuffing season (beach bunny)","5"
"cuffing season (beach bunny)","april (beach bunny)","5"
"april (beach bunny)","rearview (beach bunny)","5"
"rearview (beach bunny)","ms. california (beach bunny)","5"
"ms. california (beach bunny)","colorblind (beach bunny)","5"
"colorblind (beach bunny)","racetrack (beach bunny)","5"
"racetrack (beach bunny)","dream boy (beach bunny)","5"
"dream boy (beach bunny)","cloud 9 (beach bunny)","5"
"stain (soccer mommy)","gray light (soccer mommy)","5"
"simmer (hayley williams)","leave it alone (hayley williams)","5"
"leave it alone (hayley williams)","cinnamon (hayley williams)","5"
"cinnamon (hayley williams)","creepin' (hayley williams)","5"
"creepin' (hayley williams)","sudden desire (hayley williams)","5"
"sudden desire (hayley williams)","dead horse (hayley williams)","5"
"dead horse (hayley williams)","my friend (hayley williams)","5"
"rock bottom (misterwives)","whywhywhy (misterwives)","5"
"bad vacation (liza anne)","i shouldn't ghost my therapist (liza anne)","5"
"i shouldn't ghost my therapist (liza anne)","terrible discovery (liza anne)","5"
"terrible discovery (liza anne)","devotion (liza anne)","5"
"devotion (liza anne)","change my mind (liza anne)","5"
"change my mind (liza anne)","bummer days (liza anne)","5"
"bummer days (liza anne)","this chaos, that feeling (liza anne)","5"
"this chaos, that feeling (liza anne)","oops (liza anne)","5"
"oops (liza anne)","desire (liza anne)","5"
"high horse (mannequin pussy)","who you are (mannequin pussy)","5"
"who you are (mannequin pussy)","clams (mannequin pussy)","5"
"clams (mannequin pussy)","f.u.c.a.w. (mannequin pussy)","5"
"f.u.c.a.w. (mannequin pussy)","in love again (mannequin pussy)","5"
"lost (season one) (camp cope)","jet fuel can't melt steel beams (camp cope)","5"
"jet fuel can't melt steel beams (camp cope)","trepidation (camp cope)","5"
"the opener (camp cope)","how to socialise & make friends (camp cope)","5"
"sagan-indiana (camp cope)","the omen (camp cope)","5"
"the omen (camp cope)","animal & real (camp cope)","5"
"animal & real (camp cope)","ufo lighter (camp cope)","5"
"ufo lighter (camp cope)","i've got you (camp cope)","5"
"nighttime drive (jay som)","rav-4 (chastity belt)","5"
"rav-4 (chastity belt)","EUR EUR EUR EUR^^%%!!!!!heaven!!!!!! (lala lala)","5"
"rav-4 (chastity belt)","won't hurt (the venus project)","5"
"headache (jackie hayes)","belong (jackie hayes)","5"
"vixen (destroy boys)","b.f.f. (destroy boys)","5"
"b.f.f. (destroy boys)","nerve (destroy boys)","5"
"nerve (destroy boys)","piedmont (destroy boys)","5"
"vixen (destroy boys)","seashore (the regrettes)","5"
"okay (skinny girl diet)","vixen (destroy boys)","5"
"methatonin (destroy boys)","american river (destroy boys)","5"
"atomic (blondie)","call me (blondie)","5"
"okay (skinny girl diet)","hail mary (feat. louise post & nina gordon) (skating polly)","5"
"vixen (destroy boys)","okay (skinny girl diet)","5"
"eye 2 eye (jackie hayes)","omg (jackie hayes)","5"
"eye 2 eye (jackie hayes)","pretty (girlpool)","5"
"dead end (jackie hayes)","crybaby (destroy boys)","5"
"before dawn (men i trust)","serenade of water (men i trust)","5"
"serenade of water (men i trust)","5am waltz (men i trust)","5"
"lifelong song (men i trust)","shoulders (men i trust)","5"
"shoulders (men i trust)","beluga (men i trust)","5"
"secrets from a girl (who's seen it all) (lorde)","piece of my mind (broods)","5"
"animal (sir chloe)","untie you (sir chloe)","5"
"te llevo conmigo (destroy boys)","drink (destroy boys)","5"
"sedona (sir chloe)","michelle (sir chloe)","5"
"madonna (snail mail)","c. et al. (snail mail)","5"
"anna (camp cope)","sagan-indiana (camp cope)","5"
"blue (newdad)","hide (newdad)","5"
"hide (newdad)","waves (newdad)","5"
"fake (chastity belt)","fear (chastity belt)","5"
"thinking too much (newdad)","ladybird (newdad)","5"
"ladybird (newdad)","opaque (bessie turner)","5"
"manifesto (sprints)","ashley (sprints)","5"
"crybaby (destroy boys)","gold medal (destroy boys)","5"
"skipping tiles (julie)","april's-bloom (julie)","5"
"with u (soccer mommy)","unholy affliction (soccer mommy)","5"
"shotgun (soccer mommy)","newdemo (soccer mommy)","5"
"newdemo (soccer mommy)","darkness forever (soccer mommy)","5"
"darkness forever (soccer mommy)","don't ask me (soccer mommy)","5"
"don't ask me (soccer mommy)","fire in the driveway (soccer mommy)","5"
"fire in the driveway (soccer mommy)","following eyes (soccer mommy)","5"
"following eyes (soccer mommy)","feel it all the time (soccer mommy)","5"
"feel it all the time (soccer mommy)","still (soccer mommy)","5"
"free dumb (illuminati hotties)","content//bedtime (illuminati hotties)","5"
"content//bedtime (illuminati hotties)","free4all (illuminati hotties)","5"
"free4all (illuminati hotties)","b yr own b (illuminati hotties)","5"
"b yr own b (illuminati hotties)","k - hot am 818 (illuminati hotties)","5"
"k - hot am 818 (illuminati hotties)","superiority complex (big noise) (illuminati hotties)","5"
"superiority complex (big noise) (illuminati hotties)","reasons 2 live (illuminati hotties)","5"
"neon (jockstrap)","jennifer b (jockstrap)","5"
"jennifer b (jockstrap)","greatest hits (jockstrap)","5"
"concrete over water (jockstrap)","angst (jockstrap)","5"
"angst (jockstrap)","debra (jockstrap)","5"
"debra (jockstrap)","glasgow (jockstrap)","5"
"glasgow (jockstrap)","lancaster court (jockstrap)","5"
"focus (jackie hayes)","wish it was (jackie hayes)","5"
"everything everything (indigo sparke)","it's infinite (lomelda)","5"
"purple year (gladie)","born yesterday (gladie)","5"
"soda (gladie)","heaven, someday (gladie)","5"
"bloomsday (fontaines d.c.)","roman holiday (fontaines d.c.)","5"
"roman holiday (fontaines d.c.)","the couple across the way (fontaines d.c.)","5"
"the couple across the way (fontaines d.c.)","skinty fia (fontaines d.c.)","5"
"$20 (boygenius)","emily i'm sorry (boygenius)","5"
"emily i'm sorry (boygenius)","true blue (boygenius)","5"
"keep growing (camp cope)","mesa (cayetana)","5"
"nobody (black belt eagle scout)","fancy dance (black belt eagle scout)","5"
"fancy dance (black belt eagle scout)","scicud (a narrow place) (black belt eagle scout)","5"
"scicud (a narrow place) (black belt eagle scout)","treeline (black belt eagle scout)","5"
"treeline (black belt eagle scout)","understanding (black belt eagle scout)","5"
"understanding (black belt eagle scout)","spaces (black belt eagle scout)","5"
"spaces (black belt eagle scout)","don't give up (black belt eagle scout)","5"
"indoor kid (slotface)","come hell or whatever (slotface)","5"
"change your mind (bully)","how will i know (bully)","5"
"arbeter froyen (isabel frey)","dona dona (isabel frey)","5"
"sholem lid (isabel frey)","ale vayber megn shtimen (isabel frey)","5"
"sally (jacklen ro)","hollywood (i'm good) (jacklen ro)","5"
"listening to me sing (jacklen ro)","i just stare (jacklen ro)","5"
"freak (feeble little horse)","margaret (swearin')","5"
"february 8th (pillow queens)","suffer (pillow queens)","5"
"suffer (pillow queens)","like a lesson (pillow queens)","5"
"like a lesson (pillow queens)","blew up the world (pillow queens)","5"
"blew up the world (pillow queens)","friend of mine (pillow queens)","5"
"friend of mine (pillow queens)","the bar's closed (pillow queens)","5"
"the bar's closed (pillow queens)","gone (pillow queens)","5"
"gone (pillow queens)","so kind (pillow queens)","5"
"love ii (pillow queens)","notes on worth (pillow queens)","5"
"conversation starter (odie leigh)","either way (odie leigh)","5"
"either way (odie leigh)","kerina (adrianne lenker)","5"
"can't be still (illuminati hotties)","i would like, still love you (illuminati hotties)","5"
"i would like, still love you (illuminati hotties)","throw (life raft) (illuminati hotties)","5"
"throw (life raft) (illuminati hotties)","rot (illuminati hotties)","5"
"rot (illuminati hotties)","falling in love with somebody better (illuminati hotties)","5"
"falling in love with somebody better (illuminati hotties)","the l (illuminati hotties)","5"
"the l (illuminati hotties)","sleeping in (illuminati hotties)","5"
"i-95 (ada lea)","come on, baby! be a good girl for the camera (ada lea)","5"
"come on, baby! be a good girl for the camera (ada lea)","make me a promise (ada lea)","5"
"make me a promise (ada lea)","serait-il...? (ada lea)","5"
"serait-il...? (ada lea)","hometown (ada lea)","5"
"take it (lily seabird)","grace (lily seabird)","5"
"grace (lily seabird)","twenty (lily seabird)","5"
"angel (lily seabird)","dirge (lily seabird)","5"
"dirge (lily seabird)","cavity (lily seabird)","5"
"cavity (lily seabird)","domino (lily seabird)","5"
"domino (lily seabird)","waste (lily seabird)","5"
"waste (lily seabird)","the end of the beginning (lily seabird)","5"
"suffer dude (colatura)","dna (margaux)","5"
"made out of memory (nilufer yanya)","faith's late (nilufer yanya)","5"
"idontwannabeyouanymore (billie eilish)","my boy (billie eilish)","4"
"paralyzed (mystery skulls)","ghost (mystery skulls)","4"
"the louvre (lorde)","homemade dynamite (lorde)","4"
"friends don't make out (muki)","sassaparilla (muki)","4"
"changing of the seasons (two door cinema club)","electric feel (mgmt)","4"
"supercut (lorde)","liability (reprise) (lorde)","4"
"lifted up (1985) (passion pit)","punching in a dream (the naked and famous)","4"
"bury it (chvrches)","tether (chvrches)","4"
"warped (ava naomi)","flora (ava naomi)","4"
"peach (broods)","crush (tessa violet)","4"
"teenage girl (cherry glazerr)","if you met her (palehound)","4"
"heat wave (snail mail)","thinning (snail mail)","4"
"i make boys cry (adult mom)","survival (adult mom)","4"
"art school (frankie cosmos)","cut yr teeth (kississippi)","4"
"how's the weather (ciarra fragale)","silence: a lullaby (ciarra fragale)","4"
"it died in the winter - iphone demo (ciarra fragale)","consider me gone - live at green kill (ciarra fragale)","4"
"how's the weather (ciarra fragale)","haven't said a word - brett miller remix (ciarra fragale)","4"
"the bus song (jay som)","pirouette (jay som)","4"
"rat of the city (sidney gish)","the bus song (jay som)","4"
"homemade dynamite (lorde)","the louvre (lorde)","4"
"liability (lorde)","hard feelings/loveless (lorde)","4"
"hard feelings/loveless (lorde)","sober ii (melodrama) (lorde)","4"
"sober ii (melodrama) (lorde)","writer in the dark (lorde)","4"
"writer in the dark (lorde)","supercut (lorde)","4"
"i don't wanna be funny anymore (lucy dacus)","motion sickness (phoebe bridgers)","4"
"never ending circles (chvrches)","leave a trace (chvrches)","4"
"leave a trace (chvrches)","keep you on my side (chvrches)","4"
"keep you on my side (chvrches)","make them gold (chvrches)","4"
"make them gold (chvrches)","clearest blue (chvrches)","4"
"clearest blue (chvrches)","high enough to carry you over (chvrches)","4"
"high enough to carry you over (chvrches)","empty threat (chvrches)","4"
"empty threat (chvrches)","down side of me (chvrches)","4"
"let's find an out (snail mail)","full control (snail mail)","4"
"about you (g flip)","killing my time (g flip)","4"
"drink too much (g flip)","about you (g flip)","4"
"stick (snail mail)","road head (japanese breakfast)","4"
"road head (japanese breakfast)","cut yr teeth (kississippi)","4"
"you're not written in my stars (breakfast muff)","duvet (breakfast muff)","4"
"you're not written in my stars (breakfast muff)","crocodile (breakfast muff)","4"
"lava (ava naomi)","warped (ava naomi)","4"
"indoor soccer (speedy ortiz)","lean in when i suffer (speedy ortiz)","4"
"yam yam (no vacation)","if you met her (palehound)","4"
"dq (charly bliss)","black hole (charly bliss)","4"
"black hole (charly bliss)","percolator (charly bliss)","4"
"cut yr teeth (kississippi)","urge to purge (charly bliss)","4"
"chatroom (charly bliss)","capacity (charly bliss)","4"
"capacity (charly bliss)","black hole (charly bliss)","4"
"minneapolis (vagabon)","mal a l'aise (vagabon)","4"
"black hole (charly bliss)","ruby (charly bliss)","4"
"scare u (charly bliss)","percolator (charly bliss)","4"
"vacation (family reunion)","missed connections (family reunion)","4"
"westermarck (charly bliss)","your dog (soccer mommy)","4"
"fool (frankie cosmos)","road head (japanese breakfast)","4"
"every day's the weekend (alex lahey)","i love you like a brother (alex lahey)","4"
"side effects (shura)","religion (u can lay your hands on me) (shura)","4"
"the 2nd most beautiful girl in the world (snail mail)","clean jeans (remember sports)","4"
"peace out (jay som)","devotion (jay som)","4"
"devotion (jay som)","nighttime drive (jay som)","4"
"tenderness (jay som)","anak ko (jay som)","4"
"anak ko (jay som)","crown (jay som)","4"
"clean jeans (remember sports)","night shift (lucy dacus)","4"
"veronica (daddy issues)","trying (bully)","4"
"hands down (the greeting committee)","elise (the greeting committee)","4"
"heaven (charly bliss)","westermarck (charly bliss)","4"
"love me (charly bliss)","drunk ii (mannequin pussy)","4"
"heaven (charly bliss)","drunk ii (mannequin pussy)","4"
"love me (charly bliss)","90210 (the courtneys)","4"
"r.i.f.p. (mothica)","oh god (mothica)","4"
"romantic (mannequin pussy)","love me (charly bliss)","4"
"survival (adult mom)","2012 (adult mom)","4"
"2012 (adult mom)","told ya so (adult mom)","4"
"told ya so (adult mom)","sorry i was sorry (adult mom)","4"
"hungover (mothica)","r.i.f.p. (mothica)","4"
"stick (snail mail)","heat wave (snail mail)","4"
"i know what i like - ikwil (muki)","apple pie (xylo)","4"
"desire (liza anne)","i wanna be there (liza anne)","4"
"i wanna be there (liza anne)","too soon (liza anne)","4"
"dead of winter (jackie hayes)","enemy (jackie hayes)","4"
"ann's jam (chastity belt)","seven (men i trust)","4"
"90210 (the courtneys)","veronica (daddy issues)","4"
"february (beach bunny)","drunk ii (mannequin pussy)","4"
"slop (forth wanderers)","drunk ii (mannequin pussy)","4"
"you caught the light (chvrches)","strong hand (chvrches)","4"
"strong hand (chvrches)","broken bones (chvrches)","4"
"seven (men i trust)","orange peels (gladie)","4"
"my friend (hayley williams)","over yet (hayley williams)","4"
"over yet (hayley williams)","roses/lotus/violet/iris (hayley williams)","4"
"roses/lotus/violet/iris (hayley williams)","why we ever (hayley williams)","4"
"why we ever (hayley williams)","pure love (hayley williams)","4"
"pure love (hayley williams)","taken (hayley williams)","4"
"taken (hayley williams)","sugar on the rim (hayley williams)","4"
"sugar on the rim (hayley williams)","watch me while i bloom (hayley williams)","4"
"watch me while i bloom (hayley williams)","crystal clear (hayley williams)","4"
"effort (chastity belt)","rav-4 (chastity belt)","4"
"rav-4 (chastity belt)","it takes time (chastity belt)","4"
"nighttime drive (jay som)","spy (lala lala)","4"
"orange peels (gladie)","rav-4 (chastity belt)","4"
"drown (chastity belt)","lauren (men i trust)","4"
"yam yam (no vacation)","nighttime drive (jay som)","4"
"go easy/hey love - part 1 (the venus project)","yam yam (no vacation)","4"
"rav-4 (chastity belt)","ann's jam (chastity belt)","4"
"dead of winter (jackie hayes)","headache (jackie hayes)","4"
"effort (chastity belt)","go easy/hey love - part 1 (the venus project)","4"
"go (yowler)","it takes time (chastity belt)","4"
"charlie (mallrat)","rockstar (mallrat)","4"
"go (yowler)","orange peels (gladie)","4"
"dead of winter (jackie hayes)","belong (jackie hayes)","4"
"lauren (men i trust)","water over sex (lala lala)","4"
"headache (jackie hayes)","eye 2 eye (jackie hayes)","4"
"lucy's (girlpool)","stale device (girlpool)","4"
"stale device (girlpool)","where you sink (girlpool)","4"
"where you sink (girlpool)","hire (girlpool)","4"
"hire (girlpool)","pretty (girlpool)","4"
"pretty (girlpool)","chemical freeze (girlpool)","4"
"chemical freeze (girlpool)","all blacked out (girlpool)","4"
"what chaos is imaginary (girlpool)","hoax and the shrine (girlpool)","4"
"hoax and the shrine (girlpool)","swamp and bay (girlpool)","4"
"swamp and bay (girlpool)","josephs dad (girlpool)","4"
"what you want (sheer mag)","vixen (destroy boys)","4"
"new kid (ex hex)","what you want (sheer mag)","4"
"lethal lolita (red aunts)","fan the flames (sheer mag)","4"
"pretty (girlpool)","go easy/hey love - part 1 (the venus project)","4"
"okay (skinny girl diet)","fences (destroy boys)","4"
"vixen (destroy boys)","fences (destroy boys)","4"
"seven (men i trust)","effort (chastity belt)","4"
"dead end (jackie hayes)","eye 2 eye (jackie hayes)","4"
"take me out (the venus project)","sleep baby sleep (broods)","4"
"belong (jackie hayes)","omg (jackie hayes)","4"
"headache (jackie hayes)","crybaby (destroy boys)","4"
"drive (soccer mommy)","pretty (girlpool)","4"
"drive (soccer mommy)","dead of winter (jackie hayes)","4"
"the path (lorde)","solar power (lorde)","4"
"solar power (lorde)","california (lorde)","4"
"california (lorde)","stoned at the nail salon (lorde)","4"
"stoned at the nail salon (lorde)","fallen fruit (lorde)","4"
"fallen fruit (lorde)","secrets from a girl (who's seen it all) (lorde)","4"
"secrets from a girl (who's seen it all) (lorde)","the man with the axe (lorde)","4"
"the man with the axe (lorde)","dominoes (lorde)","4"
"dominoes (lorde)","big star (lorde)","4"
"big star (lorde)","leader of a new regime (lorde)","4"
"tree among shrubs (men i trust)","before dawn (men i trust)","4"
"5am waltz (men i trust)","always lone (men i trust)","4"
"always lone (men i trust)","ante meridiem (men i trust)","4"
"ante meridiem (men i trust)","lifelong song (men i trust)","4"
"pretty (girlpool)","drive (soccer mommy)","4"
"shame reactions (pom pom squad)","drunk voicemail (pom pom squad)","4"
"lo peor (destroy boys)","all this love (destroy boys)","4"
"untie you (sir chloe)","easy on you (sir chloe)","4"
"easy on you (sir chloe)","wrath (sir chloe)","4"
"wrath (sir chloe)","too close (sir chloe)","4"
"too close (sir chloe)","sedona (sir chloe)","4"
"milkumana (king stingray)","get me out (king stingray)","4"
"get me out (king stingray)","milkumana (king stingray)","4"
"milkumana (king stingray)","hey wanhaka (king stingray)","4"
"eg smanadi mig (supersport!)","thad er madur inni herberginu minu (supersport!)","4"
"thad er madur inni herberginu minu (supersport!)","en sama hvad... (supersport!)","4"
"en sama hvad... (supersport!)","svo do hun, ad nottu, i draumi (supersport!)","4"
"i don't recognise you (newdad)","ladybird (newdad)","4"
"backyard (tetchy)","emotional labor (tetchy)","4"
"drunk voicemail (pom pom squad)","shape of my hands (illuminati hotties)","4"
"blue (newdad)","all this love (destroy boys)","4"
"hungry (suzi wu)","jockey full of bourbon (suzi wu)","4"
"drones (sprints)","swimming (sprints)","4"
"swimming (sprints)","manifesto (sprints)","4"
"gold medal (destroy boys)","duck eat duck world (destroy boys)","4"
"jockey full of bourbon (suzi wu)","taken care of (suzi wu)","4"
"cold blue light (kynsy)","happiness isn't a fixed state (kynsy)","4"
"nancy drew (slotface)","flutter (julie)","4"
"uneasy - metronomy x spill tab (metronomy)","pistolwhip (spill tab)","4"
"cold blue light (kynsy)","holy show (pillow queens)","4"
"nancy drew (slotface)","expect the bayonet (sheer mag)","4"
"happiness (thick)","i wish 2016 never happened (thick)","4"
"i wish 2016 never happened (thick)","loser (thick)","4"
"greatest hits (jockstrap)","what's it all about? (jockstrap)","4"
"what's it all about? (jockstrap)","concrete over water (jockstrap)","4"
"lancaster court (jockstrap)","50/50 - extended mix (jockstrap)","4"
"when you are happy (adult mom)","lose/recover (adult mom)","4"
"golden dream (snail mail)","full control (snail mail)","4"
"skinty fia (fontaines d.c.)","i love you (fontaines d.c.)","4"
"i love you (fontaines d.c.)","nabokov (fontaines d.c.)","4"
"lupa (king stingray)","hey wanhaka (king stingray)","4"
"get me out (king stingray)","let's go (king stingray)","4"
"let's go (king stingray)","raypirri (king stingray)","4"
"raypirri (king stingray)","milkumana (king stingray)","4"
"milkumana (king stingray)","sweet arnhem land (king stingray)","4"
"sweet arnhem land (king stingray)","malk mirri wayin (king stingray)","4"
"malk mirri wayin (king stingray)","camp dog (king stingray)","4"
"camp dog (king stingray)","life goes on (king stingray)","4"
"you learn (alanis morissette)","head over feet (alanis morissette)","4"
"scott get the van, i'm moving (cayetana)","i'm glad that we broke up (feat. ezra furman) (du blonde)","4"
"the face of god (camp cope)","anna (camp cope)","4"
"done (camp cope)","flesh and electricity (camp cope)","4"
"flesh and electricity (camp cope)","west side story (camp cope)","4"
"west side story (camp cope)","lost (season one) (camp cope)","4"
"trepidation (camp cope)","stove lighter (camp cope)","4"
"come hell or whatever (slotface)","beta (slotface)","4"
"beta (slotface)","cowboys in the dark (slotface)","4"
"cowboys in the dark (slotface)","friday nights (slotface)","4"
"friday nights (slotface)","nose (slotface)","4"
"hot rotten grass smell (wednesday)","bull believer (wednesday)","4"
"bull believer (wednesday)","got shocked (wednesday)","4"
"formula one (wednesday)","chosen to deserve (wednesday)","4"
"chosen to deserve (wednesday)","bath county (wednesday)","4"
"bath county (wednesday)","quarry (wednesday)","4"
"turkey vultures (wednesday)","what's so funny (wednesday)","4"
"what's so funny (wednesday)","tv in the gas pump (wednesday)","4"
"hard to love (bully)","lose you (bully)","4"
"soft (suzi wu)","teenage witch (suzi wu)","4"
"hungry (suzi wu)","teenage witch (suzi wu)","4"
"break in (newdad)","in my head (newdad)","4"
"adore adore adore (sprints)","literary mind (sprints)","4"
"only one (biig piig)","liquorice (biig piig)","4"
"liquorice (biig piig)","kerosene (biig piig)","4"
"kerosene (biig piig)","this is what they meant (biig piig)","4"
"this is what they meant (biig piig)","ghosting (biig piig)","4"
"ghosting (biig piig)","picking up (feat. deb never) (biig piig)","4"
"picking up (feat. deb never) (biig piig)","in the dark (biig piig)","4"
"up and comer (sprints)","adore adore adore (sprints)","4"
"lose you (feat. soccer mommy) (bully)","bang bang (momma)","4"
"but not kiss (faye webster)","falling apart (slow pulp)","4"
"cartoon earthquake (blondshell)","kiss city - home demo (blondshell)","4"
"gone (pillow queens)","suffer (pillow queens)","4"
"power (telenova)","teardrop (telenova)","4"
"so kind (pillow queens)","heavy pour (pillow queens)","4"
"heavy pour (pillow queens)","one night (pillow queens)","4"
"one night (pillow queens)","love ii (pillow queens)","4"
"nineteen (charly bliss)","02:00 am (sarah crean)","4"
"skinny (billie eilish)","lunch (billie eilish)","4"
"lunch (billie eilish)","chihiro (billie eilish)","4"
"chihiro (billie eilish)","birds of a feather (billie eilish)","4"
"birds of a feather (billie eilish)","wildflower (billie eilish)","4"
"wildflower (billie eilish)","the greatest (billie eilish)","4"
"the greatest (billie eilish)","l'amour de ma vie (billie eilish)","4"
"l'amour de ma vie (billie eilish)","the diner (billie eilish)","4"
"the diner (billie eilish)","bittersuite (billie eilish)","4"
"bittersuite (billie eilish)","blue (billie eilish)","4"
"vertigo (beach bunny)","02:00 am (sarah crean)","4"
"scary (heatloaf)","bent 2 be (heatloaf)","4"
"bent 2 be (heatloaf)","fireman (heatloaf)","4"
"fireman (heatloaf)","i'll always love u & i'll try (heatloaf)","4"
"i'll always love u & i'll try (heatloaf)","only hard feelings (heatloaf)","4"
"only hard feelings (heatloaf)","what are you gonna do (interlude) (heatloaf)","4"
"what are you gonna do (interlude) (heatloaf)","in the ground (heatloaf)","4"
"shoulder to die on (heatloaf)","fine (heatloaf)","4"
"fine (heatloaf)","bug song (heatloaf)","4"
"bug song (heatloaf)","swan (heatloaf)","4"
"omg (suki waterhouse)","in camera (yumi zouma)","4"
"sleeping in (illuminati hotties)","didn't (feat. cavetown) (illuminati hotties)","4"
"didn't (feat. cavetown) (illuminati hotties)","you are not who you were (illuminati hotties)","4"
"you are not who you were (illuminati hotties)","what's the fuzz (illuminati hotties)","4"
"what's the fuzz (illuminati hotties)","ysl (illuminati hotties)","4"
"ysl (illuminati hotties)","power (illuminati hotties)","4"
"power (illuminati hotties)","everything changes (illuminati hotties)","4"
"twenty (lily seabird)","over & over again (searching for you in the space) (lily seabird)","4"
"over & over again (searching for you in the space) (lily seabird)","angel (lily seabird)","4"
"ugly (prima queen)","fool (prima queen)","4"
"coeur d'alene (work wife)","dna (margaux)","4"
"strangers (work wife)","i wouldn't want it any other way (margaux)","4"
"the prize (prima queen)","ugly (prima queen)","4"
"suffer dude (colatura)","do you miss her (colatura)","4"
"i want you (fever) (momma)","ohio all the time (momma)","4"
"absence makes the heart grow (daffo)","limbo bitch (samia)","4"
"eve (sarah jarosz)","pay it no mind (sarah jarosz)","4"
"pay it no mind (sarah jarosz)","hometown (sarah jarosz)","4"
"hometown (sarah jarosz)","johnny (sarah jarosz)","4"
"johnny (sarah jarosz)","orange and blue (sarah jarosz)","4"
"orange and blue (sarah jarosz)","i'll be gone (sarah jarosz)","4"
"i'll be gone (sarah jarosz)","maggie (sarah jarosz)","4"
"maggie (sarah jarosz)","what do i do (sarah jarosz)","4"
"what do i do (sarah jarosz)","empty square (sarah jarosz)","4"
"empty square (sarah jarosz)","little satchel (sarah jarosz)","4"
"quick fix (daffo)","meryl streep (prima queen)","4"
